Y	X	Z
100	0.04	0.28
200	0.21	1.15
299.99	0.53	2.35
399.99	0.98	3.56
499.98	1.71	4.64
599.97	2.75	5.66
699.96	3.68	6.91
799.95	4.15	8.36
899.94	4.32	9.68
999.94	4.92	10.7
1099.93	6.32	11.15
1199.9	8.65	11.28
1299.84	12.1	11.51
1399.75	16.26	11.86
1499.66	20.5	12.55
1599.59	24.2	13.55
1699.53	27.38	14.78
1799.47	30.43	16.62
1899.37	34.05	19.31
1999.2	38.82	22.71
2098.97	44.29	26.75
2198.69	50.05	31.47
2298.39	55.79	36.75
2398.07	61.61	42.24
2467.81	66.1	46.24
2483.74	67.2	47.17
2546.54	71.13	50.43
2640.38	74.5	54.57
2734.29	73.95	58.48
2829.21	71.02	61.14
2923.18	69.1	61.75
3017.18	68.61	61.54
3111.18	68.28	61.37
3205.18	67.84	61.56
3299.18	67.75	61.47
3393.17	68.36	60.13
3487.16	68.17	58.64
3582.14	66.63	59.5
3676.1	64.43	61
3770.07	62.16	61.21
3864.05	60.11	61.06
3958.03	58.15	60.92
4052.02	56.77	60.78
4146.02	55.89	60.26
4240.01	55.29	59.48
4334.01	55	58.65
4428.01	55.04	57.68
4523	55.46	56.61
4616.99	55.61	55.38
4710.98	55.47	53.83
4804.96	55.61	51.96
4898.94	55.94	50.02
4992.93	56.34	48.26
5086.92	56.79	46.86
5180.91	57.46	45.87
5274.9	57.54	44.66
5368.89	56.57	43.16
5462.86	55.02	41.84
5556.83	53.09	40.2
5650.79	51.09	38.38
5745.76	49.23	36.39
5839.72	47.9	34.34
5933.71	46.89	32.65
6027.69	46.01	31.17
6121.68	45.27	29.8
6215.67	44.94	28.67
6309.66	45.33	27.45
6403.65	45.69	26.05
6497.64	45.85	24.59
6591.62	46.3	22.67
6685.61	45.94	21.67
6779.61	44.74	21.9
6873.6	43.52	22
6968.59	41.94	22.04
7062.57	40.24	21.98
7156.56	38.46	22.02
7250.54	36.4	22.57
7344.53	35.49	23.22
7438.52	35.76	24.07
7532.52	35.33	24.4
7626.52	34.15	24.12
7720.51	32.81	23.79
7814.5	31.57	23.38
7908.49	30.28	23.11
8002.48	28.98	22.98
8097.48	27.98	22.71
8191.48	27.24	22.42
8285.47	26.26	22.36
8379.46	25.1	22.04
8473.46	24.03	21.72
8567.45	22.74	21.49
8661.44	21.66	20.98
8755.44	20.79	20.61
8849.44	19.82	20.26
8943.43	18.91	19.57
9038.43	18.35	18.88
9132.42	17.84	18.27
9226.42	17.36	17.83
9320.42	16.89	17.38
9414.42	16.4	16.75
9508.42	16.19	16.31
9602.42	15.86	15.95
9696.42	15.46	15.34
9737.42	15.37	15.03
9768.42	15.25	14.91
9799.39	14.47	15.6
9831.25	12.36	17.67
9861.9	9.01	20.87
9892.22	4.35	25.33
9923.04	-1.95	31.15
9952.44	-9.37	37.6
9981.43	-17.76	44.69
10010.8	-27.28	53.06
10038.57	-37.4	62.42
10066.58	-48.76	72.91
10093.15	-60.54	83.68
10119.02	-73.14	95.22
10144.9	-87.08	107.85
10169.52	-101.26	120.27
10193.78	-115.96	132.77
10218	-131.66	146.58
10240.45	-147.3	161.15
10261.88	-163.39	176.72
10282.92	-180.64	193.56
10302.28	-198.09	210.34
10321.45	-216.78	227.86
10339.31	-235.48	244.96
10356.42	-254.72	262.22
10373.31	-275.11	280.2
10388.81	-295.46	297.7
10403.12	-316.6	315.28
10416.47	-339.25	333.52
10428.46	-361.67	351.26
10439.59	-384.51	369.01
10449.93	-408.7	387.23
10458.99	-432.61	404.76
10467.25	-457.68	422.84
10473.74	-482.22	440.64
10478.3	-506.83	458.92
10480.89	-532.16	478.28
10481.5	-543.18	486.9
10483.7	-600.46	533.69
10484.45	-624.78	554.47
10485.96	-673.83	595.55
10486.85	-723.74	635.61
10487.11	-748.96	655.31
10487.33	-800.53	693.19
10487.16	-826.89	711.34
10486.99	-880.25	746.66
10487.22	-907.12	764.05
10488.22	-961.41	797.91
10488.92	-988.99	814.12
10490.32	-1044.95	845.14
10490.88	-1073.36	859.86
10491.4	-1100.26	873.13
10492.28	-1157.44	899.55
10492.56	-1186.76	912.39
10492.67	-1245.56	937.65
10492.42	-1274.96	950.28
10491.97	-1334	974.98
10491.78	-1363.75	986.76
10491.27	-1423.4	1009.96
10491.22	-1451.3	1020.97
10491.33	-1510.1	1043.6
10491.16	-1540.11	1054.71
10490.61	-1600.15	1076.86
10490.33	-1630.12	1088.09
10489.49	-1690.02	1110.6
10488.54	-1749.96	1133.02
10488.2	-1779.86	1144.4
10488.09	-1809.7	1155.98
10488.15	-1868.69	1178.09
10487.98	-1959.18	1210.14
10487.7	-2019.64	1231.13
10487.62	-2049.89	1241.58
10487.78	-2110.42	1262.36
10487.98	-2140.71	1272.67
10487.64	-2201.49	1292.71
10487.23	-2231.97	1302.47
10485.98	-2322.59	1330.95
10484.16	-2413.52	1358.41
10483.53	-2445.18	1367.7
10483.16	-2475.9	1376.65
10483.05	-2505.65	1385.35
10483.28	-2567.05	1403.42
10483.53	-2597.75	1412.43
10483.84	-2628.46	1421.41
10484	-2689.84	1439.53
10484.17	-2781.77	1467.2
10484.56	-2812.38	1476.53
10485.23	-2873.6	1495.19
10485.46	-2904.21	1504.49
10485.34	-2965.42	1523.2
10484.59	-3057.07	1551.75
10484.67	-3087.56	1561.45
10484.9	-3118.05	1571.18
10485.04	-3148.46	1581.15
10484.9	-3178.8	1591.3
10484.42	-3209.21	1601.27
10483.95	-3239.67	1611.05
10483.47	-3270.11	1620.91
10482.52	-3330.92	1640.84
10481.85	-3391.63	1661.1
10481.63	-3421.95	1671.33
